"","sampleID.exp","test1.exp","allP.exp","ztest1","zallP","month","june","aug","exp.adjust","exp.adjustTest1","stress"
"61","248_D_1836",2e+07,25730000,-0.252150275498169,0.692072683454318,"june",1,0,1961.2237465798,20001961.2237466,5728038.77625342
"62","250_B_1858",24320000,26510000,1.67143036366558,0.840929722489038,"june",1,0,2562.1516572483,24322562.1516572,2187437.84834275
"63","250_C_1859",23030000,30800000,1.09702781169308,1.65964343717999,"june",1,0,2662.95396380886,23032662.9539638,7767337.04603619
"64","30_A_185",18930000,20410000,-0.72859270232808,-0.323208659705563,"june",1,0,1530.47268680501,18931530.4726868,1478469.5273132
"65","30_B_186",24270000,30340000,1.64916669886045,1.57185595262106,"june",1,0,2835.70255491606,24272835.7025549,6067164.29744508
"66","30_C_187",18410000,24910000,-0.960134816301495,0.535581950110126,"june",1,0,1762.60989326242,18411762.6098933,6498237.39010674
"67","30_D_188",20450000,27580000,-0.0517772922519451,1.04513104526743,"june",1,0,2046.58467234528,20452046.5846723,7127953.41532765
"68","35_A_221",22430000,26510000,0.829863834031442,0.840929722489038,"june",1,0,2275.10246473986,22432275.1024647,4077724.89753526
"69","35_C_223",18380000,22640000,-0.973493015184577,0.102369798047545,"june",1,0,1588.41089433655,18381588.4108943,4258411.58910566
"70","35_D_224",20550000,22650000,-0.00724996264167236,0.104278221624913,"june",1,0,1920.33696200363,20551920.336962,2098079.663038
"71","46_A_281",18130000,21650000,-1.08481133921026,-0.0865641361119065,"june",1,0,1443.29565921829,18131443.2956592,3518556.70434078
"72","46_B_282",19030000,11250000,-0.684065372717808,-2.07132465657483,"june",1,0,962.041986042212,19030962.041986,-7780962.04198604
"73","46_C_283",19210000,25170000,-0.603916179419318,0.5852009631217,"june",1,0,1880.49177111603,19211880.4917711,5958119.50822888
"74","46_D_284",21350000,26540000,0.348968674240504,0.846654993221142,"june",1,0,2109.5932558897,21352109.5932559,5187890.40674411
"75","70_A_425",25700000,22060000,2.28590751228734,-0.0083187694398104,"june",1,0,2508.80170393948,25702508.8017039,-3642508.80170394
"76","70_B_426",18650000,13950000,-0.853269225236843,-1.55605029068542,"june",1,0,1034.06406747226,18651034.0640675,-4701034.06406747
"77","70_C_427",18350000,15660000,-0.986851214067658,-1.22970985895546,"june",1,0,1071.00119434091,18351071.0011943,-2691071.00119434
"78","70_D_428",24810000,12590000,1.88961427875592,-1.81559589720749,"june",1,0,2019.26536196629,24812019.265362,-12222019.265362
"79","101",19650000,25460000,0.377210734848822,0.193705757313966,"aug",0,1,2002.12177782252,19652002.1217778,5807997.87822218
"80","102",18930000,24470000,-0.0803149818385482,-0.029192600949171,"aug",0,1,1864.7321191226,18931864.7321191,5538135.26788088
"81","103",19110000,21080000,0.0340664473332942,-0.792450615607791,"aug",0,1,1664.00881656423,19111664.0088166,1968335.99118344
