"","reaction_type","sampleID","starting_quantity","Cycle_number","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38","NA..39"
"38","test1","gblock+IRE_plus18IRE",10,"E17",3450.414797,3414.83563,3414.509233,3412.297328,3409.388445,3406.306005,3405.402964,3405.915589,3402.405857,3401.219165,3400.110397,3400.522146,3412.874906,3428.186908,3458.299732,3504.876419,3571.487852,3658.521209,3752.22536,3846.595862,3936.632803,4029.822814,4103.130443,4181.787076,4250.836632,4315.455084,4373.309449,4427.997266,4462.132137,4504.868442,4542.434294,4575.472413,4603.597876,4625.530096,4649.320318,4672.199221,4691.005608,4707.513321,4718.635812,4741.53876
"39","test1","gblock+IRE_plus18IRE",10,"E18",3466.928834,3427.587452,3421.880662,3419.940886,3418.916852,3413.20737,3416.703632,3411.845519,3413.934295,3414.07064,3409.460508,3415.251358,3425.496733,3440.776015,3471.499103,3516.277434,3584.49619,3670.755663,3758.825067,3856.27449,3945.866504,4029.214759,4110.450559,4180.858959,4256.872932,4315.502989,4373.902007,4429.178644,4470.412265,4512.768181,4550.979339,4588.532736,4606.136473,4636.67217,4664.90843,4684.2361,4706.689163,4723.050064,4742.763289,4753.877102
"40","all_products","gblock+IRE_plus18IRE",10,"E19",3456.511664,3417.828271,3417.841877,3414.641429,3407.380196,3409.577596,3404.856358,3405.785598,3404.27211,3406.387189,3404.121084,3404.89026,3407.848209,3419.367958,3439.641789,3465.427888,3508.207439,3570.635082,3648.49287,3741.837196,3829.561539,3915.08218,3999.761543,4074.253878,4154.11825,4217.706217,4286.753928,4345.596945,4398.225297,4443.898568,4486.466573,4523.027893,4562.350047,4591.952697,4618.5675,4646.750188,4672.046931,4690.185375,4709.226439,4733.531658
"41","all_products","gblock+IRE_plus18IRE",10,"E20",3424.034402,3382.62203,3376.796166,3377.170905,3370.207052,3369.335586,3371.009088,3372.360256,3366.829195,3363.338559,3364.691454,3368.091837,3368.791301,3377.157292,3396.547311,3419.398544,3461.874644,3525.825854,3598.111498,3678.795304,3762.811905,3848.052795,3931.095233,3998.815714,4068.858212,4139.97633,4202.231511,4258.759086,4304.891659,4351.955189,4400.905466,4433.500978,4468.552497,4501.823709,4534.007209,4558.952188,4585.265716,4605.375819,4626.121778,4646.480046
"42","all_products","gblock+IRE_plus18IRE",10,"E21",3480.137497,3444.801113,3443.19761,3445.820186,3443.727155,3440.227014,3438.88485,3438.15554,3438.994822,3440.701372,3438.806261,3446.757993,3455.178875,3464.006805,3480.775054,3508.672847,3554.455461,3624.945285,3713.026811,3802.184287,3904.908781,4003.069213,4090.407994,4179.068441,4260.039554,4339.322575,4410.402456,4475.609069,4530.653257,4588.491859,4638.6228,4685.447562,4716.807636,4759.731518,4795.277208,4827.980744,4858.689378,4878.888537,4901.797855,4935.013624
"43","all_products","gblock_minusIRE_onlyExonnoIRE",10,"E22",3576.602177,3527.745483,3526.301525,3524.968771,3523.775272,3517.593785,3520.664811,3520.318599,3520.035312,3520.485886,3524.969543,3523.662056,3533.518089,3553.492375,3584.773851,3635.115287,3710.379905,3796.652631,3902.090041,4014.626803,4116.472573,4215.992388,4317.475919,4403.817987,4496.442276,4577.091672,4645.910643,4718.107906,4772.249782,4831.926711,4873.417899,4917.656702,4965.444101,4996.81459,5023.141405,5060.608073,5086.798901,5110.017005,5127.560508,5156.736015
"44","all_products","gblock_minusIRE_onlyExonnoIRE",10,"E23",3549.498086,3503.077923,3500.745143,3499.575223,3495.480724,3494.003462,3494.750057,3490.138831,3497.86345,3493.026501,3494.730537,3501.3998,3509.595532,3524.799738,3555.139481,3605.881197,3672.242651,3763.464339,3863.219725,3965.78664,4062.605989,4159.368683,4252.509206,4345.237862,4427.296114,4498.580592,4570.77792,4638.32408,4697.887992,4747.637954,4800.193445,4848.342847,4887.631399,4921.242086,4957.905141,4981.725523,5011.243677,5037.198707,5053.916565,5079.633411
"45","all_products","gblock_minusIRE_onlyExonnoIRE",10,"E24",3521.068028,3513.358343,3510.225473,3507.302228,3501.895152,3500.303849,3501.739732,3503.094502,3506.661652,3506.753834,3513.781088,3514.259926,3530.699308,3549.147892,3581.34741,3633.392675,3708.639011,3803.716959,3909.933992,4011.492231,4120.988419,4223.554496,4318.429182,4409.732353,4493.036014,4576.602874,4645.434073,4708.903205,4768.959904,4828.828478,4879.57232,4921.005487,4966.623447,5001.407889,5032.919367,5061.950875,5091.385362,5115.960889,5137.437535,5162.567495
"46","test1","gblock+IRE_plus18IRE",0.05,"F16",3563.76765,3514.988995,3510.145619,3509.68326,3511.034123,3507.359571,3507.268948,3502.400143,3501.485703,3502.249849,3503.280454,3502.926499,3496.687448,3502.416655,3503.685219,3505.410201,3501.727166,3503.344213,3510.167878,3514.776093,3526.228962,3546.08685,3577.22498,3634.329424,3706.511895,3803.856635,3904.095093,4008.893936,4101.820018,4191.371062,4276.080598,4351.833458,4430.857985,4491.173666,4557.148886,4610.594421,4666.326313,4706.861966,4744.925825,4787.465745
"47","test1","gblock+IRE_plus18IRE",0.05,"F17",3605.793445,3556.738188,3548.382068,3552.143274,3553.928534,3548.561526,3552.379511,3545.438092,3544.495013,3545.076361,3546.578682,3546.343813,3546.419595,3543.878638,3547.394955,3546.261874,3550.480207,3543.956242,3554.047358,3557.636008,3568.002196,3591.615474,3628.928666,3686.025471,3768.407256,3870.129482,3977.718111,4086.91054,4189.014472,4283.554619,4374.998979,4460.36722,4537.433069,4609.173315,4672.410638,4731.732321,4783.449763,4832.153955,4874.97537,4917.523465
